Year,Zip Code,Age-Adjusted Rate,95% LCL,95% UCL
2014,94577,4.204,0.509,17.818
2014,94578,1.455,0.037,21.645
2014,94579,0,0,29.19
2014,94580,0,0,17.832
2014,94586,0,0,0
2014,94587,1.437,0.036,9.364
2014,94588,0,0,0
2014,94601,3.257,0.382,17.455
2014,94602,0,0,16.994
2014,94603,0,0,28.025
2014,94605,2.235,0.057,15.608
2014,94606,0,0,14.758
2014,94607,10.891,2.203,39.289
2014,94608,7.506,0.909,41
2014,94609,0,0,55.513
2014,94610,0,0,0
2014,94611,5.668,0.658,31.017
2014,94612,11.353,1.221,141.365
2014,94613,0,0,0
2014,94618,0,0,62.693
2014,94619,5.729,0.633,32.912
2014,94621,8.587,1.713,38.348
2014,94702,0,0,43.84
2014,94703,2.597,0.066,39.069
2014,94704,0,0,127.005
2014,94705,6.579,0.167,79.755
2014,94706,0,0,40.718
2014,94707,0,0,76.052
2014,94708,0,0,0
2014,94709,0,0,186.619
2014,94710,0,0,255.552
2014,94720,0,0,0
2014,95391,0,0,0
2013,94501,1.444,0.037,10.768
2013,94502,0,0,0
2013,94514,0,0,0
2013,94536,0,0,7.122
2013,94538,1.791,0.045,12.801
2013,94539,0,0,12.494
2013,94541,0,0,11.603
2013,94542,0,0,0
2013,94544,0.887,0.022,10.279
2013,94545,0,0,17.075
2013,94546,0,0,12.973
2013,94550,5.107,0.618,19.955
2013,94551,4.008,0.485,30.055
2013,94552,0,0,39.567
2013,94555,2.418,0.061,26.308
2013,94560,0,0,11.644
2013,94566,1.569,0.04,16.481
2013,94568,0,0,24.147
2013,94577,3.469,0.415,16.742
2013,94578,4.568,0.553,24.469
2013,94579,0,0,26.174
2013,94580,0,0,17.015
2013,94586,0,0,0
2013,94587,0,0,6.709
2013,94588,0,0,26.407
2013,94601,2.339,0.059,17.83
2013,94602,0,0,17.93
2013,94603,6.026,0.709,32.796
2013,94605,2.493,0.063,16.356
2013,94606,4.103,0.476,19.96
2013,94607,10.245,1.236,40.434
2013,94608,0,0,29.28
2013,94609,0,0,39.693
2013,94610,0,0,30.622
2013,94611,0,0,20.739
2013,94612,0,0,121.039
2013,94613,0,0,0
2013,94618,0,0,0
2013,94619,0,0,25.684
2013,94621,10.481,1.984,44.557
2013,94702,0,0,46.595
2013,94703,3.859,0.098,41.278
2013,94704,7.782,0.197,186.495
2013,94705,0,0,76.877
2013,94706,0,0,33.045
2013,94707,0,0,0
2013,94708,0,0,0
2013,94709,0,0,136.227
2013,94710,0,0,0
2013,94720,0,0,0
2013,95391,0,0,207.553
2012,94501,1.928,0.049,12.053
2012,94502,4.782,0.121,77.012
2012,94514,0,0,0
2012,94536,0,0,7.085
2012,94538,1.078,0.027,11.177
2012,94539,0,0,12.444
2012,94541,2.962,0.351,13.829
2012,94542,0,0,83.253
2012,94544,0.895,0.023,11.05
2012,94545,0,0,0
2012,94546,2.289,0.058,15.45
2012,94550,0,0,11.8
2012,94551,0,0,22.092
2012,94552,0,0,46.144
2012,94555,0,0,19.266
2012,94560,4.023,0.474,17.799
2012,94566,4.74,0.574,21.627
2012,94568,0,0,25.04
2012,94577,1.966,0.05,13.613
2012,94578,2.383,0.06,19.429
2012,94579,4.392,0.111,32.89
2012,94580,0,0,17.039
2012,94586,0,0,0
2012,94587,3.126,0.379,13.159
2012,94588,2.544,0.064,33.946
2012,94601,0,0,12.667
2012,94602,3.583,0.091,23.513
2012,94603,11.204,1.919,41.036
2012,94605,1.693,0.043,15.68
2012,94606,0,0,16.134
2012,94607,3.019,0.076,27.954
2012,94608,7.638,0.893,43.893
2012,94609,0,0,41.985
2012,94610,0,0,34.224
2012,94611,0,0,23.31
2012,94612,13.763,1.662,106.78
2012,94613,0,0,0
2012,94618,0,0,46.332
2012,94619,0,0,20.45
2012,94621,3.767,0.095,33.716
2012,94702,0,0,0
2012,94703,0,0,34.27
2012,94704,0,0,279.87
2012,94705,6.505,0.165,80.199
2012,94706,0,0,35.411
2012,94707,0,0,0
2012,94708,0,0,0
2012,94709,0,0,142.056
2012,94710,0,0,279.04
2012,94720,0,0,0
2012,95391,0,0,484.587
2011,94501,2.993,0.356,13.152
2011,94502,0,0,0
2011,94514,0,0,0
2011,94536,5.814,1.576,16.086
2011,94538,1.358,0.034,11.705
2011,94539,0,0,14.016
2011,94541,4.482,0.915,16.982
2011,94542,0,0,0
2011,94544,0,0,10.283
2011,94545,0,0,16.877
2011,94546,0,0,11.769
2011,94550,2.713,0.069,15.599
2011,94551,4.533,0.549,27.986
2011,94552,0,0,51.063
2011,94555,0,0,24.446
2011,94560,1.735,0.044,16.319
2011,94566,0,0,15.07
2011,94568,0,0,25.945
2011,94577,3.628,0.439,17.036
2011,94578,0,0,16.337
2011,94579,0,0,0
2011,94580,2.903,0.074,22.012
2011,94586,0,0,0
2011,94587,1.248,0.032,10.231
2011,94588,0,0,38.244
2011,94601,0,0,15.026
2011,94602,0,0,19.748
2011,94603,3.22,0.082,29.688
2011,94605,5.387,1.095,20.405
2011,94606,4.507,0.546,22.583
2011,94607,3.277,0.083,29.947
